adresse;name;signatur
0x00401000;xyAreValid;BOOLEnum xyAreValid(ViewportRenderState * this, uint x, uint y)
0x00401040;translateXYToTile;int translateXYToTile(ViewportRenderState * this, int x, int y)
0x00401060;processEntityDamageToBuildingCollateralThunk;void processEntityDamageToBuildingCollateralThunk(TileMapState * this, undefined4 tile, undefined4 x_2, undefined4 y_2, undefined4 damage, undefined4 playerID, undefined4 unused)
0x00401090;isSameTeam;BOOLEnum isSameTeam(GameStateStructures * this, int playerID1, int playerID2)
0x004010b0;isAIPlayer;BOOLEnum isAIPlayer(GameSynchronyState * this, int playerID)
0x004010e0;clearEntityArrayAndSec1077;void clearEntityArrayAndSec1077(EntityState * this)
0x00401150;playerHasEntityOfType;BOOLEnum playerHasEntityOfType(EntityState * this, int playerID, EntityType entityType)
0x004011d0;setProjectileEntityValues2;void setProjectileEntityValues2(EntityState * this, int entityID, EntityType entityType)
0x004012f0;setEntityParameters;void setEntityParameters(EntityState * this, int entityID, undefined4 entityType, int gmLookupValue)
0x00401380;drawEntityEffect;void drawEntityEffect(EntityState * this, int entityID, undefined4 entityType, int graphicType1, int graphicType2)
0x00401400;markEntityDestroyed;void markEntityDestroyed(EntityState * this, int param_1)
0x00401430;tickEntityDecayCounter;void tickEntityDecayCounter(EntityState * this, int param_1)
0x00401460;doSomethingWithOtherEntitiesOnTile;void doSomethingWithOtherEntitiesOnTile(EntityState * this, uint entityID)
0x00401540;getFireEntityIDAtTile;int getFireEntityIDAtTile(EntityState * this, int tile)
0x00401570;updateAllFireEntitiesAtTile;int updateAllFireEntitiesAtTile(EntityState * this, int tile)
0x004015d0;processFireDamageToUnitsAtTile;void processFireDamageToUnitsAtTile(EntityState * this, int tile, int playerID, int fireLowIntensity)
0x00401620;recountActiveFires;void recountActiveFires(EntityState * this)
0x00401690;flagUnitsWithActiveEntity;void flagUnitsWithActiveEntity(EntityState * this)
0x004016e0;somethingWithSeparateAreas1;int somethingWithSeparateAreas1(EntityState * this, int unitID)
0x00401880;refreshPoisonCloudNearUnit;void refreshPoisonCloudNearUnit(EntityState * this, int param_1)
0x00401910;assignPoisonCloudTargetEntity;void assignPoisonCloudTargetEntity(EntityState * this, int param_1)
0x004019d0;destroyEntitiesOnTile;void destroyEntitiesOnTile(EntityState * this, int tile)
0x00401a50;isBrazierNearby;undefined4 isBrazierNearby(EntityState * this, int unitX, int unitY, int unitZ)
0x00401ae0;reassignEntitiesOwner;void reassignEntitiesOwner(EntityState * this, int param_1, undefined4 param_2)
0x00401b20;swapEntityOwnership;void swapEntityOwnership(EntityState * this, int param_1, int param_2)
0x00401b60;destroyEntitiesPart2;void destroyEntitiesPart2(EntityState * this, int param_1)
0x00401ba0;UpdateArrowEntity;void UpdateArrowEntity(void)
0x00401c30;UpdateCatapultProjectileEntity;void UpdateCatapultProjectileEntity(void)
0x00401cc0;UpdatePebbleEntity;void UpdatePebbleEntity(void)
0x00401d20;UpdateFirethrowSecondaryEntity;void UpdateFirethrowSecondaryEntity(void)
0x00401d70;UpdateArrowsSecondaryEntity;void UpdateArrowsSecondaryEntity(void)
0x00401db0;UpdateCrossbowArrowEntity;void UpdateCrossbowArrowEntity(void)
0x00401e20;UpdateEntity_20_37;void UpdateEntity_20_37(void)
0x00401ea0;UpdateEntity_21;void UpdateEntity_21(void)
0x00401ff0;UpdateEntity_PoisonCloud;void UpdateEntity_PoisonCloud(void)
0x00402180;UpdateEntity_CowFlying;void UpdateEntity_CowFlying(void)
0x00402260;UpdateEntity_26;void UpdateEntity_26(void)
0x00402330;UpdateEntity_27;void UpdateEntity_27(void)
0x004023a0;UpdateEntity_28;void UpdateEntity_28(void)
0x004023f0;UpdateEntity_29;uint UpdateEntity_29(void)
0x004024f0;UpdateEntity_30;void UpdateEntity_30(void)
0x00402580;UpdateEntity_31;void UpdateEntity_31(void)
0x00402620;UpdateEntity_32;void UpdateEntity_32(void)
0x00402660;UpdateEntity_40;void UpdateEntity_40(void)
0x00402730;UpdateEntity_41;void UpdateEntity_41(void)
0x00402820;UpdateEntity_42_43;void UpdateEntity_42_43(void)
0x00402900;UpdateFlag_1_2_4_Entity;void UpdateFlag_1_2_4_Entity(void)
0x00402a20;UpdateFlag3Entity;void UpdateFlag3Entity(void)
0x00402ab0;UpdateBrazierEntity;void UpdateBrazierEntity(void)
0x00402ae0;updateEntityMicroMovement;void updateEntityMicroMovement(EntityState * this, int param_1)
0x00402bd0;angleToRotationFrameIndex;undefined angleToRotationFrameIndex(void)
0x00402c50;math_atan_1;int math_atan_1(EntityState * this, int entityType, double param_3, int param_4, int heightDifference)
0x00402da0;computeVelocity;int computeVelocity(EntityState * this, undefined4 param_2, double param_3, int param_4, int param_5)
0x00402e20;computeLineOfSightDistance;uint computeLineOfSightDistance(EntityState * this, int x, int y, int height, int targetX, int targetY, int targetHeight, int param_7)
0x004036f0;calculateEntityDrawOffset;void calculateEntityDrawOffset(EntityState * this, int entityID)
0x00403790;initializeSeagullMovementVector;void initializeSeagullMovementVector(EntityState * this, int ID_1077, int param_2, int param_3, int param_4, int param_5)
0x004038a0;SetCurrentEntityID3000;void SetCurrentEntityID3000(void)
0x004038b0;SetFlagEntityColor;void SetFlagEntityColor(void)
0x00403900;removeEntityFromTileLinkedList;void removeEntityFromTileLinkedList(EntityState * this, int param_1)
0x00403980;Constructor_EntityState;EntityState * Constructor_EntityState(EntityState * this)
0x004039b0;activateProjectileEntity;int activateProjectileEntity(EntityState * this, int entityID)
0x004039f0;deleteEntity;void deleteEntity(EntityState * this, uint entityID)
0x00403a20;initializeProjectileVelocities;void initializeProjectileVelocities(EntityState * this, int entityID, int x, int y, int height, int targetX, int targetY, int targetZ)
0x00403ff0;handleProjectileWallBounce;void handleProjectileWallBounce(EntityState * this, int param_1)
0x00404a10;arrowShootingRelated;int arrowShootingRelated(EntityState * this, int microX, int microY, int height, int destMicroX, int destMicroY, int destHeight)
0x00404a70;deleteSeagull;void deleteSeagull(void)
0x00404ae0;spawnProjectileEntity;uint spawnProjectileEntity(EntityState * this, int unitID, undefined4 playerID1, uint ownerColorUnk, int microX, int microY, int totalHeight, int targetX, int targetY, int targetZUnk, EntityType entityType, int param_11)
0x00405130;SomeFireSpreadFunction;uint SomeFireSpreadFunction(int param_1, int x, int y, int param_4, int param_5)
0x004052e0;IgniteFireAtMiniTile;uint IgniteFireAtMiniTile(int playerID, int miniTileX, int miniTileY, int tileHeightMin8, int two, int fireIntensity)
0x004054e0;AFireSpreadFunction;void AFireSpreadFunction(int playerID, int x, int y, int height, int param_5, int param_6)
0x00405680;UpdateFireEntity;void UpdateFireEntity(void)
0x00405b70;UpdateFirethrowEntity;void UpdateFirethrowEntity(void)
0x00405c00;UpdateHeadsOnSpikesEntity;void UpdateHeadsOnSpikesEntity(void)
0x00405cf0;setProjectileTargetPosition;void setProjectileTargetPosition(EntityState * this, int entityID, int x, int y, int height, int targetX, int targetY, int targetZ)
0x00405da0;spawnProjectileImpactDebris;void spawnProjectileImpactDebris(EntityState * this, int param_1)
0x00406650;createSeagull;int createSeagull(EntityState * this, int x, int y)
0x00406900;processSeaGulls;void processSeaGulls(EntityState * this, int seagullID)
0x00406fd0;UpdateEntityType8;void UpdateEntityType8(void)
