### IMAGE_DOS_HEADER   Groesse 128 (0x80)
  +0x0     e_magic                                    char[2]                2 Byte
  +0x2     e_cblp                                     word                   2 Byte
  +0x4     e_cp                                       word                   2 Byte
  +0x6     e_crlc                                     word                   2 Byte
  +0x8     e_cparhdr                                  word                   2 Byte
  +0xa     e_minalloc                                 word                   2 Byte
  +0xc     e_maxalloc                                 word                   2 Byte
  +0xe     e_ss                                       word                   2 Byte
  +0x10    e_sp                                       word                   2 Byte
  +0x12    e_csum                                     word                   2 Byte
  +0x14    e_ip                                       word                   2 Byte
  +0x16    e_cs                                       word                   2 Byte
  +0x18    e_lfarlc                                   word                   2 Byte
  +0x1a    e_ovno                                     word                   2 Byte
  +0x1c    e_res[4]                                   word[4]                8 Byte
  +0x24    e_oemid                                    word                   2 Byte
  +0x26    e_oeminfo                                  word                   2 Byte
  +0x28    e_res2[10]                                 word[10]               20 Byte
  +0x3c    e_lfanew                                   dword                  4 Byte
  +0x40    e_program                                  byte[64]               64 Byte

### IMAGE_NT_HEADERS32   Groesse 248 (0xf8)
  +0x0     Signature                                  char[4]                4 Byte
  +0x4     FileHeader                                 IMAGE_FILE_HEADER      20 Byte
  +0x18    OptionalHeader                             IMAGE_OPTIONAL_HEADER32 224 Byte

### IMAGE_FILE_HEADER   Groesse 20 (0x14)
  +0x0     Machine                                    word                   2 Byte
  +0x2     NumberOfSections                           word                   2 Byte
  +0x4     TimeDateStamp                              dword                  4 Byte
  +0x8     PointerToSymbolTable                       dword                  4 Byte
  +0xc     NumberOfSymbols                            dword                  4 Byte
  +0x10    SizeOfOptionalHeader                       word                   2 Byte
  +0x12    Characteristics                            word                   2 Byte

### IMAGE_OPTIONAL_HEADER32   Groesse 224 (0xe0)
  +0x0     Magic                                      word                   2 Byte
  +0x2     MajorLinkerVersion                         byte                   1 Byte
  +0x3     MinorLinkerVersion                         byte                   1 Byte
  +0x4     SizeOfCode                                 dword                  4 Byte
  +0x8     SizeOfInitializedData                      dword                  4 Byte
  +0xc     SizeOfUninitializedData                    dword                  4 Byte
  +0x10    AddressOfEntryPoint                        ImageBaseOffset32      4 Byte
  +0x14    BaseOfCode                                 ImageBaseOffset32      4 Byte
  +0x18    BaseOfData                                 ImageBaseOffset32      4 Byte
  +0x1c    ImageBase                                  pointer32              4 Byte
  +0x20    SectionAlignment                           dword                  4 Byte
  +0x24    FileAlignment                              dword                  4 Byte
